cas_rn,PCODE,Parameter Names,fraction,Units,Health (Water Source),Health(Fish Consumption),Aquatic(Chronic),Aquatic (Acute),Wildlife,Aesthetic(Water Source),Aesthetic(Food Source),Recreation
7429-90-5,1106,"Aluminum, wf",D, ug/l,,,100,,,,,
7429-90-5,1105,"Aluminum, wu,recov",T, ug/l,,,100,,,,,
7664-41-7,610,"Ammonia, wu",T, ug/l,,,,,,,,
7440-38-2,1000,"Arsenic, wf",D, ug/l,,,150,340,,,,
7440-38-2,1002,"Arsenic, wu",T, ug/l,,,,,,,,
7440-43-9,1025,"Cadmium, wf",D, ug/l,,,(0.85)exp(0.7852(ln(hardness*0.001)-2.715),(0.85)exp(1.128(ln(hardness*0.001)-3.6867),,,,
7440-43-9,1027,"Cadmium, wu",T, ug/l,,,,,,,,
16887-00-6,940,"Chloride, wf",D, ug/l,,,,,,,,
16887-00-6,99220,"Chloride, wu",T, ug/l,,,,,,,,
7440-50-8,1040,"Copper, wf",D, ug/l,,,(0.96)exp(0.8545(ln(hardness*0.001)-1.702),(0.96)exp(0.9422(ln(hardness*0.001)-1.7),,,,
7440-50-8,52296,"Copper, wu",T, ug/l,,,,,,,,
16984-48-8,951,"Fluoride, wu",T, ug/l,,, (0.02)exp(0.907(ln(hardness*0.001)+7.394), (0.1)exp(0.907(ln(hardness*0.001)+7.394),,,,
7439-89-6,71885,"Iron, wu",T, ug/l,,,,,,,,
7439-92-1,1049,"Lead, wf",D, ug/l,,,(1.46203 -((ln(hardness*0.001)(0.145712)))exp(1.273(ln(hardness*0.001)-4.297),(1.46203-((ln(hardness*0.001)(0.145712)))exp(1.273(ln(hardness*0.001)-1.052),,,,
7439-92-1,52298,"Lead, wu",T, ug/l,,,,,,,,
7439-95-4,927,"Magnesium, wu,recov",T, ug/l,,,,,,,,
7439-96-5,71883,"Manganese, wu",T, ug/l,,,,,,,,
7439-97-6,50287,"Mercury, wf",D, ug/l,,0.0007,0.77,1.4,0.0026,,,
7439-97-6,50286,"Mercury, wu",T, ug/l,,,,,,,,
7440-02-0,1065,"Nickel, wf",D, ug/l,,,(0.997)exp(0.846(ln(hardness*0.001)+0.0584),(0.998)exp(0.846(ln(hardness*0.001)+2.255),,,,
7440-02-0,52300,"Nickel, wu",T, ug/l,,,,,,,,
14797-55-8,618,"Nitrate, wf",D, ug/l,,,,,,,,
14797-55-8,620,"Nitrate, wu",T, ug/l,,,,,,,,
14797-65-0,615,"Nitrite, wu",T, ug/l,,,100,,,,,
NO3NO2N,630,"NO3+NO2, wu",T, ug/l,,,,,,,,
PH.1,400.1,pH High,T,std,,,8.5,,,,,
PH.2,400.2,pH Low,T,std,,,6.5,,,,,
PHEN,46002,"Phenols, wu",T, ug/l,,,,,,,5,
93-72-1,52301,"Silver, wu",T, ug/l,,,0.1,,,,,
SULF,945,"Sulfate, wf",D, ug/l,,,,,,,,
7440-66-6,1090,"Zinc, wf",D, ug/l,,,exp(0.85(ln(hardness*0.001)+0.50),0.978exp(0.8473(ln(hardness*0.001)+0.884),,,,
